SeID,Length
1542,608.1
1543,253.87
1544,94.94
1545,115.6
1546,23.2
1547,144.52
1548,45.62
1549,104.35
1550,300.78
1551,278.35
1552,302.28
1553,0.32
1554,7.4
1555,114.6
1556,1729.21
1557,6254.38
1558,3.58
1559,352.1
1560,332.67
1561,554.76
1562,2302.18
1563,95.84
1564,364.17
1565,247.1
1566,371.25
1567,18
1568,193.36
1569,879.26
1570,48.11
1571,56.36
1572,179.39
1573,19.16
1574,162.5
1575,176.58
1576,113.01
1577,104.97
1578,323.94
1579,105.95
1580,87.06
1581,1172.43
1582,2314.86
1583,187.1
1584,324.77
1585,387.79
1586,104.44
1587,155.33
1588,45.33
1589,1401.76
1590,853.15
1591,49.63
1592,96.24
1593,413.91
1594,238.26
1595,305.43
1596,32.44
1597,85.39
1598,101.08
1599,352.56
1600,399.8
1601,54.56
1602,153.69
1603,761.35
1604,67.92
1605,101.63
1606,208.72
1607,142.34
1608,180.75
1609,585.99
1610,21.93
1611,184.4
1612,25.12
1613,700.46
1614,45.32
1615,3892.57
1616,369.25
1617,239.28
1618,250.38
1619,105.49
1620,36.52
1621,120.66
1622,943.76
1623,68.21
1624,309.66
1625,5044.05
1626,333.47
1627,335.74
1628,164.18
1629,367.55
1630,620.75
1631,674.97
1632,680.18
1633,102.01
1634,133.61
1635,279.12
1636,84.23
1637,24.9
1638,266.59
1639,106.69
1640,1380.1
1641,484.68
1642,356.98
1643,71.05
1644,113.17
1645,322.85
1646,282.57
1647,77.45
1648,322.96
1649,68.16
1650,185.97
1651,1794.87
1652,123.81
1653,956.5
1654,257.27
1655,33.68
1656,92.26
1657,997.33
1658,33.68
1659,90.65
1660,48.38
1661,84.49
1662,34.31
1663,89.8
1664,421.46
1665,218.69
1666,6684.47
1667,36.02
1668,88.9
1669,34.55
1670,88.1
1671,116.88
1672,84.91
1673,55.4
1674,301.92
1675,34.85
1676,87.29
1677,1120.38
1678,26.41
1679,108.95
1680,32.29
1681,86.51
1682,509.81
1683,37.53
1684,163.57
1685,7.87
1686,37.19
1687,84.98
1688,51.88
1689,29.92
1690,67.19
1691,36.28
1692,35.13
1693,72.35
1694,39.45
1695,71.72
1696,54.27
1697,4.88
1698,221.58
1699,33.7
1700,71.08
1701,407.47
1702,144.63
1703,921.79
1704,36
1705,70.56
1706,2714.15
1707,109.63
1708,363.93
1709,33.4
1710,69.99
1711,34.55
1712,69.48
1713,59.84
1714,196.29
1715,155.19
1716,68.94
1717,36.29
1718,93.72
1719,96.58
1720,37.15
1721,94.65
1722,35.14
1723,94.71
1724,358.32
1725,1.43
1726,33.41
1727,95.01
1728,4305.06
1729,34.28
1730,95.36
1731,34.56
1732,148.59
1733,368.2
1734,33.69
1735,95.77
1736,391.82
1737,34.56
1738,150.31
1739,34.28
1740,96.19
1741,138.32
1742,86.98
1743,69.7
1744,152.01
1745,96.63
1746,30.24
1747,141.68
1748,10.08
1749,134.49
1750,32.83
1751,1342.46
1752,33.69
1753,270.66
1754,28.52
1755,796.32
1756,528.31
1757,122.81
1758,35.42
1759,121.24
1760,106.85
1761,1060.59
1762,33.98
1763,36.58
1764,32.3
1765,36.02
1766,33.47
1767,448.12
1768,112.5
1769,100.36
1770,120.32
1771,72.4
1772,96.04
1773,36.73
1774,99.74
1775,101.99
1776,511.99
1777,338.97
1778,134.11
1779,473.79
1780,491.72
1781,256.15
1782,587.63
1783,2072.8
1784,156.45
1785,497.88
1786,78.77
1787,130.09
1788,94.01
1789,29.16
1790,72.05
1791,208.09
1792,51.23
1793,207.17
1794,54.8
1795,350.9
1796,33.64
1797,142.4
1798,239.58
1799,82.51
1800,204.49
1801,119.49
1802,174.51
1803,54.84
1804,13.11
1805,98.65
1806,61.39
1807,75.07
1808,57.57
1809,440.6
1810,101.15
1811,141.42
1812,675.12
1813,235.83
1814,113
1815,93.99
1816,197.59
1817,104.72
1818,39.86
1819,68.15
1820,122.77
1821,44.99
1822,212.89
1823,191.19
1824,801.2
1825,138.05
1826,48.34
1827,139.43
1828,114.14
1829,29.01
1830,52.85
1831,59.46
1832,21.82
1833,98.95
1834,231.09
1835,51.65
1836,0
1837,142.92
1838,86.76
1839,76.75
1840,62.35
1841,43.75
1842,147.24
1843,376.2
1844,153.03
1845,27.67
1846,42.27
1847,40.66
1848,187.42
1849,0.44
1850,780.32
1851,1274.55
1852,122.36
1853,34.05
1854,166.25
1855,582.98
1856,84.86
1857,174.83
1858,206.27
1859,170.44
1860,183.53
1861,184.67
1862,49.02
1863,0
1864,492.97
1865,227.93
1866,170.16
1867,88.17
1868,15.28
1869,93.79
1870,303.79
1871,861.05
1872,558.25
1873,1232.89
1874,791.7
1875,381.06
1876,445.52
1877,142.55
1878,502.63
1879,140.5
1880,344.16
1881,66.92
1882,179.06
1883,0
1884,562.32
1885,558.72
1886,747.96
1887,61.14
1888,46.52
1889,55.14
1890,296.16
1891,41.62
1892,183.57
1893,337.83
1894,519.17
1895,36.87
1896,42.7
1897,112.29
1898,40.85
1899,53.89
1900,87.56
1901,249.79
1902,1658.27
1903,416.94
1904,265.49
1905,121.29
1906,107.21
1907,35.43
1908,210.87
1909,134.42
1910,78.14
1911,663.4
1912,19.09
1913,292.5
1914,195.09
1915,87.45
1916,169.66
1917,269.28
1918,249.48
1919,126.48
1920,19.93
1921,72.97
1922,360.31
1923,42.91
1924,112.84
1925,295.17
1926,49.88
1927,205.93
1928,138.65
1929,145.19
1930,40.08
1931,156.43
1932,74.42
1933,102.68
1934,156.01
1935,63.97
